record_time,model,dur_train_activity,dur_train_subj,dur_train_both,precision_train,recall_train,accuracy_train,precision_test,recall_test,accuracy_test,method
2016-11-30 23:25,gnb_no_pca,0.00,0.00,1.48,0.96,0.96,0.96,0.96,0.96,0.96,both at the same time
2016-11-30 23:39,gnb_multioutput,0.00,0.00,2.28,0.59,0.54,0.54,0.59,0.54,0.54,both at the same time
2016-12-01 00:04,gnb_pca,0.52,0.48,0.00,0.47,0.45,0.45,0.54,0.50,0.50,activity then subject
2016-12-01 00:10,gnb_pca,0.52,0.50,0.00,0.59,0.55,0.55,0.43,0.40,0.40,subject then activity
2016-12-01 00:14,gnb_pca,0.00,0.00,0.74,0.92,0.92,0.92,0.65,0.64,0.64,both at the same time
2016-12-01 07:51,svm_gridsearch_run_1,0.00,0.00,623.23,0.72,0.64,0.64,0.72,0.64,0.64,both at the same time
2016-12-01 08:02,svm_gridsearch_run_2,0.00,0.00,630.53,0.75,0.63,0.63,0.74,0.63,0.63,both at the same time
2016-12-01 08:12,svm_gridsearch_run_3,0.00,0.00,623.39,0.73,0.63,0.63,0.72,0.63,0.63,both at the same time
2016-12-01 08:23,svm_gridsearch_run_4,0.00,0.00,623.17,0.71,0.65,0.65,0.71,0.65,0.65,both at the same time
2016-12-01 08:33,svm_gridsearch_run_5,0.00,0.00,617.31,0.75,0.63,0.63,0.76,0.63,0.63,both at the same time
2016-12-01 08:43,svm_gridsearch_run_6,0.00,0.00,623.63,0.73,0.59,0.59,0.73,0.59,0.59,both at the same time
2016-12-01 08:54,svm_gridsearch_run_7,0.00,0.00,621.62,0.68,0.61,0.61,0.68,0.61,0.61,both at the same time
2016-12-01 09:04,svm_gridsearch_run_8,0.00,0.00,631.42,0.77,0.64,0.64,0.77,0.64,0.64,both at the same time
2016-12-01 09:15,svm_gridsearch_run_9,0.00,0.00,616.16,0.74,0.60,0.60,0.72,0.60,0.60,both at the same time
2016-12-01 09:25,svm_gridsearch_run_10,0.00,0.00,617.79,0.68,0.61,0.61,0.68,0.61,0.61,both at the same time
2016-12-01 09:35,svm_gridsearch_run_11,0.00,0.00,617.15,0.77,0.61,0.61,0.77,0.61,0.61,both at the same time
2016-12-01 09:46,svm_gridsearch_run_12,0.00,0.00,621.05,0.72,0.65,0.65,0.71,0.65,0.65,both at the same time
2016-12-01 09:56,svm_gridsearch_run_13,0.00,0.00,618.00,0.73,0.49,0.49,0.72,0.49,0.49,both at the same time
2016-12-01 10:07,svm_gridsearch_run_14,0.00,0.00,631.67,0.77,0.65,0.65,0.76,0.65,0.65,both at the same time
2016-12-01 10:17,svm_gridsearch_run_15,0.00,0.00,621.23,0.74,0.66,0.66,0.74,0.65,0.65,both at the same time
2016-12-01 10:28,svm_gridsearch_run_16,0.00,0.00,618.90,0.70,0.64,0.64,0.70,0.64,0.64,both at the same time
2016-12-01 10:38,svm_gridsearch_run_17,0.00,0.00,618.99,0.73,0.63,0.63,0.73,0.63,0.63,both at the same time
2016-12-01 10:48,svm_gridsearch_run_18,0.00,0.00,621.08,0.72,0.62,0.62,0.72,0.62,0.62,both at the same time
2016-12-01 10:59,svm_gridsearch_run_19,0.00,0.00,620.56,0.71,0.64,0.64,0.71,0.64,0.64,both at the same time
2016-12-01 11:09,svm_gridsearch_run_20,0.00,0.00,630.42,0.76,0.66,0.66,0.76,0.66,0.66,both at the same time
2016-12-01 11:20,svm_gridsearch_run_21,0.00,0.00,619.33,0.72,0.63,0.63,0.72,0.63,0.63,both at the same time
2016-12-01 11:30,svm_gridsearch_run_22,0.00,0.00,622.58,0.70,0.64,0.64,0.70,0.64,0.64,both at the same time
2016-12-01 11:41,svm_gridsearch_run_23,0.00,0.00,619.27,0.71,0.67,0.67,0.70,0.67,0.67,both at the same time
2016-12-01 11:51,svm_gridsearch_run_24,0.00,0.00,622.81,0.72,0.64,0.64,0.72,0.64,0.64,both at the same time
2016-12-01 12:02,svm_gridsearch_run_25,0.00,0.00,619.00,0.72,0.64,0.64,0.72,0.64,0.64,both at the same time
2016-12-01 12:12,svm_gridsearch_run_26,0.00,0.00,630.89,0.74,0.63,0.63,0.74,0.63,0.63,both at the same time
2016-12-01 12:22,svm_gridsearch_run_27,0.00,0.00,616.44,0.76,0.65,0.65,0.75,0.65,0.65,both at the same time
2016-12-01 12:33,svm_gridsearch_run_28,0.00,0.00,620.87,0.72,0.63,0.63,0.72,0.63,0.63,both at the same time
2016-12-01 12:43,svm_gridsearch_run_29,0.00,0.00,621.37,0.71,0.62,0.62,0.71,0.62,0.62,both at the same time
2016-12-01 12:54,svm_gridsearch_run_30,0.00,0.00,621.19,0.76,0.68,0.68,0.76,0.68,0.68,both at the same time
2016-12-01 13:04,svm_gridsearch_run_31,0.00,0.00,616.83,0.74,0.63,0.63,0.75,0.63,0.63,both at the same time
2016-12-01 13:15,svm_gridsearch_run_32,0.00,0.00,631.18,0.71,0.63,0.63,0.70,0.62,0.62,both at the same time
