record_time,model,dur_train_activity,dur_train_subj,dur_train_both,precision_train,recall_train,accuracy_train,precision_test,recall_test,accuracy_test,method
2016-12-01 08:34,svm_sgd_run_1,0.00,0.00,250.27,0.71,0.63,0.63,0.70,0.63,0.63,both at the same time
2016-12-01 08:57,svm_sgd_run_1,0.00,0.00,274.47,0.72,0.64,0.64,0.72,0.64,0.64,both at the same time
2016-12-01 09:02,svm_sgd_run_2,0.00,0.00,255.04,0.71,0.64,0.64,0.71,0.64,0.64,both at the same time
2016-12-01 09:06,svm_sgd_run_3,0.00,0.00,239.83,0.73,0.62,0.62,0.73,0.62,0.62,both at the same time
2016-12-01 09:10,svm_sgd_run_4,0.00,0.00,241.68,0.70,0.65,0.65,0.71,0.65,0.65,both at the same time
2016-12-01 09:15,svm_sgd_run_5,0.00,0.00,286.57,0.70,0.64,0.64,0.70,0.64,0.64,both at the same time
2016-12-01 09:20,svm_sgd_run_6,0.00,0.00,282.41,0.71,0.59,0.59,0.70,0.59,0.59,both at the same time
2016-12-01 09:25,svm_sgd_run_7,0.00,0.00,255.82,0.67,0.63,0.63,0.67,0.63,0.63,both at the same time
2016-12-01 09:29,svm_sgd_run_8,0.00,0.00,253.52,0.72,0.64,0.64,0.71,0.64,0.64,both at the same time
2016-12-01 09:33,svm_sgd_run_9,0.00,0.00,222.38,0.70,0.64,0.64,0.70,0.64,0.64,both at the same time
2016-12-01 09:37,svm_sgd_run_10,0.00,0.00,221.94,0.72,0.67,0.67,0.73,0.67,0.67,both at the same time
2016-12-01 09:41,svm_sgd_run_11,0.00,0.00,222.75,0.71,0.67,0.67,0.71,0.67,0.67,both at the same time
2016-12-01 09:45,svm_sgd_run_12,0.00,0.00,222.26,0.71,0.65,0.65,0.71,0.65,0.65,both at the same time
2016-12-01 09:49,svm_sgd_run_13,0.00,0.00,235.16,0.74,0.62,0.62,0.74,0.62,0.62,both at the same time
2016-12-01 09:53,svm_sgd_run_14,0.00,0.00,223.25,0.69,0.62,0.62,0.69,0.62,0.62,both at the same time
2016-12-01 09:57,svm_sgd_run_15,0.00,0.00,223.16,0.72,0.61,0.61,0.72,0.61,0.61,both at the same time
2016-12-01 10:01,svm_sgd_run_16,0.00,0.00,223.99,0.74,0.63,0.63,0.74,0.63,0.63,both at the same time
2016-12-01 10:05,svm_sgd_run_17,0.00,0.00,223.00,0.70,0.65,0.65,0.70,0.65,0.65,both at the same time
2016-12-01 10:09,svm_sgd_run_18,0.00,0.00,223.11,0.68,0.61,0.61,0.67,0.61,0.61,both at the same time
2016-12-01 10:13,svm_sgd_run_19,0.00,0.00,223.71,0.71,0.66,0.66,0.73,0.65,0.65,both at the same time
2016-12-01 10:17,svm_sgd_run_20,0.00,0.00,223.65,0.72,0.62,0.62,0.70,0.62,0.62,both at the same time
2016-12-01 10:21,svm_sgd_run_21,0.00,0.00,223.04,0.72,0.64,0.64,0.72,0.64,0.64,both at the same time
2016-12-01 10:25,svm_sgd_run_22,0.00,0.00,222.99,0.72,0.62,0.62,0.73,0.62,0.62,both at the same time
2016-12-01 10:28,svm_sgd_run_23,0.00,0.00,223.01,0.71,0.65,0.65,0.72,0.65,0.65,both at the same time
2016-12-01 10:32,svm_sgd_run_24,0.00,0.00,223.87,0.72,0.62,0.62,0.72,0.62,0.62,both at the same time
2016-12-01 10:36,svm_sgd_run_25,0.00,0.00,223.18,0.71,0.65,0.65,0.71,0.65,0.65,both at the same time
2016-12-01 10:40,svm_sgd_run_26,0.00,0.00,223.26,0.72,0.63,0.63,0.70,0.63,0.63,both at the same time
2016-12-01 10:44,svm_sgd_run_27,0.00,0.00,235.12,0.73,0.67,0.67,0.72,0.67,0.67,both at the same time
2016-12-01 10:48,svm_sgd_run_28,0.00,0.00,223.32,0.71,0.66,0.66,0.72,0.66,0.66,both at the same time
2016-12-01 10:52,svm_sgd_run_29,0.00,0.00,223.01,0.68,0.62,0.62,0.68,0.62,0.62,both at the same time
2016-12-01 10:56,svm_sgd_run_30,0.00,0.00,223.64,0.73,0.61,0.61,0.73,0.61,0.61,both at the same time
2016-12-01 11:00,svm_sgd_run_31,0.00,0.00,222.44,0.74,0.66,0.66,0.74,0.66,0.66,both at the same time
2016-12-01 11:04,svm_sgd_run_32,0.00,0.00,223.33,0.72,0.64,0.64,0.72,0.64,0.64,both at the same time
2016-12-01 11:08,svm_sgd_run_33,0.00,0.00,222.76,0.73,0.65,0.65,0.73,0.65,0.65,both at the same time
2016-12-01 11:12,svm_sgd_run_34,0.00,0.00,223.41,0.71,0.62,0.62,0.71,0.62,0.62,both at the same time
2016-12-01 11:16,svm_sgd_run_35,0.00,0.00,222.89,0.73,0.60,0.60,0.72,0.60,0.60,both at the same time
2016-12-01 11:20,svm_sgd_run_36,0.00,0.00,222.59,0.71,0.62,0.62,0.71,0.62,0.62,both at the same time
2016-12-01 11:23,svm_sgd_run_37,0.00,0.00,222.06,0.70,0.62,0.62,0.70,0.62,0.62,both at the same time
2016-12-01 11:27,svm_sgd_run_38,0.00,0.00,224.06,0.72,0.65,0.65,0.72,0.65,0.65,both at the same time
2016-12-01 11:31,svm_sgd_run_39,0.00,0.00,222.30,0.72,0.63,0.63,0.72,0.63,0.63,both at the same time
2016-12-01 11:35,svm_sgd_run_40,0.00,0.00,222.07,0.71,0.66,0.66,0.71,0.66,0.66,both at the same time
2016-12-01 11:39,svm_sgd_run_41,0.00,0.00,222.68,0.70,0.63,0.63,0.69,0.63,0.63,both at the same time
2016-12-01 11:43,svm_sgd_run_42,0.00,0.00,222.37,0.74,0.64,0.64,0.73,0.64,0.64,both at the same time
2016-12-01 11:47,svm_sgd_run_43,0.00,0.00,222.66,0.70,0.65,0.65,0.69,0.65,0.65,both at the same time
2016-12-01 11:51,svm_sgd_run_44,0.00,0.00,222.42,0.75,0.64,0.64,0.73,0.64,0.64,both at the same time
2016-12-01 11:55,svm_sgd_run_45,0.00,0.00,222.80,0.72,0.63,0.63,0.70,0.63,0.63,both at the same time
2016-12-01 11:59,svm_sgd_run_46,0.00,0.00,222.36,0.71,0.58,0.58,0.70,0.58,0.58,both at the same time
2016-12-01 12:03,svm_sgd_run_47,0.00,0.00,234.79,0.73,0.63,0.63,0.73,0.63,0.63,both at the same time
2016-12-01 12:07,svm_sgd_run_48,0.00,0.00,222.01,0.71,0.64,0.64,0.71,0.64,0.64,both at the same time
2016-12-01 12:11,svm_sgd_run_49,0.00,0.00,222.73,0.71,0.60,0.60,0.71,0.60,0.60,both at the same time
2016-12-01 12:15,svm_sgd_run_50,0.00,0.00,223.31,0.71,0.65,0.65,0.71,0.65,0.65,both at the same time
2016-12-01 12:19,svm_sgd_run_51,0.00,0.00,222.76,0.70,0.62,0.62,0.70,0.62,0.62,both at the same time
2016-12-01 12:23,svm_sgd_run_52,0.00,0.00,236.22,0.68,0.62,0.62,0.69,0.62,0.62,both at the same time
2016-12-01 12:27,svm_sgd_run_53,0.00,0.00,221.68,0.73,0.62,0.62,0.73,0.62,0.62,both at the same time
2016-12-01 12:31,svm_sgd_run_54,0.00,0.00,222.54,0.72,0.62,0.62,0.72,0.62,0.62,both at the same time
2016-12-01 12:34,svm_sgd_run_55,0.00,0.00,221.87,0.73,0.59,0.59,0.72,0.59,0.59,both at the same time
2016-12-01 12:38,svm_sgd_run_56,0.00,0.00,222.02,0.70,0.62,0.62,0.70,0.62,0.62,both at the same time
2016-12-01 12:42,svm_sgd_run_57,0.00,0.00,226.81,0.69,0.63,0.63,0.69,0.63,0.63,both at the same time
2016-12-01 12:46,svm_sgd_run_58,0.00,0.00,222.28,0.73,0.67,0.67,0.73,0.67,0.67,both at the same time
2016-12-01 12:50,svm_sgd_run_59,0.00,0.00,221.95,0.72,0.63,0.63,0.71,0.63,0.63,both at the same time
2016-12-01 12:54,svm_sgd_run_60,0.00,0.00,222.57,0.71,0.63,0.63,0.71,0.63,0.63,both at the same time
2016-12-01 12:58,svm_sgd_run_61,0.00,0.00,223.38,0.70,0.64,0.64,0.70,0.64,0.64,both at the same time
