record_time,model,dur_train_activity,dur_train_subj,dur_train_both,precision_train,recall_train,accuracy_train,precision_test,recall_test,accuracy_test,method
2016-12-01 20:59,svm_sgd_run_1,0.00,0.00,115.10,0.71,0.65,0.65,0.70,0.65,0.65,both at the same time
2016-12-01 21:01,svm_sgd_run_2,0.00,0.00,113.77,0.74,0.65,0.65,0.73,0.65,0.65,both at the same time
2016-12-01 21:03,svm_sgd_run_3,0.00,0.00,114.79,0.72,0.64,0.64,0.72,0.64,0.64,both at the same time
2016-12-01 21:05,svm_sgd_run_4,0.00,0.00,113.94,0.69,0.64,0.64,0.71,0.64,0.64,both at the same time
2016-12-01 21:07,svm_sgd_run_5,0.00,0.00,108.46,0.72,0.67,0.67,0.72,0.67,0.67,both at the same time
2016-12-01 21:09,svm_sgd_run_6,0.00,0.00,109.61,0.69,0.62,0.62,0.69,0.62,0.62,both at the same time
2016-12-01 21:10,svm_sgd_run_7,0.00,0.00,111.05,0.72,0.62,0.62,0.71,0.62,0.62,both at the same time
2016-12-01 21:12,svm_sgd_run_8,0.00,0.00,113.98,0.71,0.64,0.64,0.71,0.64,0.64,both at the same time
2016-12-01 21:14,svm_sgd_run_9,0.00,0.00,114.13,0.72,0.64,0.64,0.72,0.64,0.64,both at the same time
2016-12-01 21:16,svm_sgd_run_10,0.00,0.00,114.11,0.70,0.67,0.67,0.70,0.67,0.67,both at the same time
2016-12-01 21:18,svm_sgd_run_11,0.00,0.00,114.63,0.72,0.65,0.65,0.72,0.65,0.65,both at the same time
2016-12-01 21:20,svm_sgd_run_12,0.00,0.00,115.57,0.70,0.62,0.62,0.71,0.62,0.62,both at the same time
2016-12-01 21:22,svm_sgd_run_13,0.00,0.00,114.66,0.71,0.59,0.59,0.71,0.59,0.59,both at the same time
2016-12-01 21:24,svm_sgd_run_14,0.00,0.00,112.84,0.72,0.64,0.64,0.71,0.64,0.64,both at the same time
2016-12-01 21:26,svm_sgd_run_15,0.00,0.00,114.60,0.71,0.65,0.65,0.71,0.65,0.65,both at the same time
2016-12-01 21:28,svm_sgd_run_16,0.00,0.00,113.24,0.70,0.60,0.60,0.70,0.60,0.60,both at the same time
2016-12-01 21:30,svm_sgd_run_17,0.00,0.00,112.98,0.72,0.64,0.64,0.72,0.64,0.64,both at the same time
2016-12-01 21:32,svm_sgd_run_18,0.00,0.00,112.98,0.72,0.63,0.63,0.72,0.63,0.63,both at the same time
2016-12-01 21:34,svm_sgd_run_19,0.00,0.00,115.85,0.72,0.66,0.66,0.72,0.66,0.66,both at the same time
2016-12-01 21:36,svm_sgd_run_20,0.00,0.00,117.74,0.72,0.63,0.63,0.72,0.63,0.63,both at the same time
2016-12-01 21:38,svm_sgd_run_21,0.00,0.00,114.84,0.71,0.65,0.65,0.71,0.65,0.65,both at the same time
2016-12-01 21:40,svm_sgd_run_22,0.00,0.00,114.86,0.73,0.66,0.66,0.73,0.66,0.66,both at the same time
2016-12-01 21:42,svm_sgd_run_23,0.00,0.00,114.08,0.71,0.65,0.65,0.71,0.65,0.65,both at the same time
2016-12-01 21:44,svm_sgd_run_24,0.00,0.00,114.11,0.71,0.65,0.65,0.71,0.65,0.65,both at the same time
2016-12-01 21:46,svm_sgd_run_25,0.00,0.00,111.80,0.75,0.63,0.63,0.75,0.63,0.63,both at the same time
2016-12-01 21:48,svm_sgd_run_26,0.00,0.00,114.81,0.72,0.67,0.67,0.72,0.67,0.67,both at the same time
2016-12-01 21:50,svm_sgd_run_27,0.00,0.00,113.56,0.72,0.63,0.63,0.72,0.63,0.63,both at the same time
2016-12-01 21:52,svm_sgd_run_28,0.00,0.00,114.64,0.72,0.63,0.63,0.72,0.63,0.63,both at the same time
2016-12-01 21:54,svm_sgd_run_29,0.00,0.00,111.16,0.74,0.65,0.65,0.74,0.65,0.65,both at the same time
2016-12-01 21:56,svm_sgd_run_30,0.00,0.00,115.90,0.72,0.65,0.65,0.72,0.65,0.65,both at the same time
