record_time	model	dur_train_activity	dur_train_subj	dur_train_both	precision_train	recall_train	accuracy_train	precision_test	recall_test	accuracy_test	method
1/12/16 19:14	svm_sgd_run_1	14.47	11.04	0	0.51	0.49	0.49	0.51	0.49	0.49	subject then activity
1/12/16 19:14	svm_sgd_run_2	14.47	11.42	0	0.48	0.47	0.47	0.48	0.47	0.47	subject then activity
1/12/16 19:15	svm_sgd_run_3	14.45	11.14	0	0.49	0.47	0.47	0.48	0.47	0.47	subject then activity
1/12/16 19:15	svm_sgd_run_4	14.18	10.91	0	0.46	0.46	0.46	0.46	0.46	0.46	subject then activity
1/12/16 19:16	svm_sgd_run_5	14.5	10.88	0	0.49	0.47	0.47	0.49	0.47	0.47	subject then activity
1/12/16 19:16	svm_sgd_run_6	14.41	10.87	0	0.53	0.49	0.49	0.53	0.5	0.5	subject then activity
1/12/16 19:17	svm_sgd_run_7	14.34	10.99	0	0.54	0.51	0.51	0.54	0.52	0.52	subject then activity
1/12/16 19:17	svm_sgd_run_8	14.41	11.21	0	0.51	0.48	0.48	0.51	0.49	0.49	subject then activity
1/12/16 19:18	svm_sgd_run_9	14.67	11.03	0	0.49	0.45	0.45	0.49	0.45	0.45	subject then activity
1/12/16 19:18	svm_sgd_run_10	14.21	11.07	0	0.48	0.49	0.49	0.48	0.5	0.5	subject then activity
1/12/16 19:19	svm_sgd_run_11	14.17	10.97	0	0.49	0.46	0.46	0.48	0.46	0.46	subject then activity
1/12/16 19:19	svm_sgd_run_12	14.48	11.37	0	0.52	0.49	0.49	0.51	0.49	0.49	subject then activity
1/12/16 19:20	svm_sgd_run_13	14.31	10.89	0	0.52	0.49	0.49	0.51	0.49	0.49	subject then activity
1/12/16 19:20	svm_sgd_run_14	14.24	10.98	0	0.5	0.48	0.48	0.5	0.48	0.48	subject then activity
1/12/16 19:21	svm_sgd_run_15	14.34	10.89	0	0.47	0.46	0.46	0.47	0.46	0.46	subject then activity
1/12/16 19:21	svm_sgd_run_16	14.36	10.9	0	0.51	0.47	0.47	0.5	0.47	0.47	subject then activity
1/12/16 19:22	svm_sgd_run_17	14.38	11.45	0	0.51	0.48	0.48	0.51	0.48	0.48	subject then activity
1/12/16 19:22	svm_sgd_run_18	14.21	10.98	0	0.48	0.47	0.47	0.48	0.48	0.48	subject then activity
1/12/16 19:23	svm_sgd_run_19	15.1	10.93	0	0.52	0.5	0.5	0.52	0.5	0.5	subject then activity
1/12/16 19:23	svm_sgd_run_20	14.59	10.95	0	0.52	0.49	0.49	0.52	0.49	0.49	subject then activity
1/12/16 19:24	svm_sgd_run_21	14.36	10.83	0	0.48	0.45	0.45	0.47	0.45	0.45	subject then activity
1/12/16 19:24	svm_sgd_run_22	14.32	11.34	0	0.49	0.49	0.49	0.49	0.49	0.49	subject then activity
1/12/16 19:25	svm_sgd_run_23	15.23	11.74	0	0.48	0.46	0.46	0.48	0.46	0.46	subject then activity
1/12/16 19:25	svm_sgd_run_24	15.46	11.77	0	0.5	0.48	0.48	0.5	0.48	0.48	subject then activity
1/12/16 19:26	svm_sgd_run_25	15.79	11.69	0	0.5	0.48	0.48	0.5	0.48	0.48	subject then activity
1/12/16 19:26	svm_sgd_run_26	15.68	12.33	0	0.52	0.5	0.5	0.52	0.5	0.5	subject then activity
1/12/16 19:27	svm_sgd_run_27	15.78	11.95	0	0.45	0.45	0.45	0.45	0.45	0.45	subject then activity
1/12/16 19:27	svm_sgd_run_28	15.24	11.97	0	0.49	0.48	0.48	0.49	0.48	0.48	subject then activity
1/12/16 19:28	svm_sgd_run_29	15.78	11.44	0	0.49	0.49	0.49	0.49	0.5	0.5	subject then activity
1/12/16 19:28	svm_sgd_run_30	15	11.82	0	0.52	0.5	0.5	0.52	0.5	0.5	subject then activity
1/12/16 19:29	svm_sgd_run_31	15.55	11.62	0	0.52	0.5	0.5	0.52	0.5	0.5	subject then activity
1/12/16 19:29	svm_sgd_run_32	14.24	11.46	0	0.52	0.5	0.5	0.52	0.5	0.5	subject then activity
